,ranking_date,rank,name,title,country,rating,games,birth_year,year,age
0,27-07-00,1,"Kasparov, Garry",g,RUS,2849,35,1963,0,37
1,27-07-00,2,"Kramnik, Vladimir",g,RUS,2770,23,1975,0,25
2,27-07-00,3,"Anand, Viswanathan",g,IND,2762,23,1969,0,31
3,27-07-00,4,"Morozevich, Alexander",g,RUS,2756,28,1977,0,23
4,27-07-00,5,"Adams, Michael",g,ENG,2755,38,1971,0,29
5,27-07-00,6,"Shirov, Alexei",g,ESP,2746,33,1972,0,28
6,27-07-00,7,"Leko, Peter",g,HUN,2743,29,1979,0,21
7,27-07-00,8,"Ivanchuk, Vassily",g,UKR,2719,10,1969,0,31
8,27-07-00,9,"Topalov, Veselin",g,BUL,2707,11,1975,0,25
9,27-07-00,10,"Krasenkow, Michal",g,POL,2702,61,1963,0,37
10,27-07-00,11,"Bareev, Evgeny",g,RUS,2702,17,1966,0,34
11,27-07-00,12,"Karpov, Anatoly",g,RUS,2699,11,1951,0,49
12,27-07-00,13,"Kasimdzhanov, Rustam",g,UZB,2690,44,1979,0,21
13,27-07-00,14,"Svidler, Peter",g,RUS,2689,9,1976,0,24
14,27-07-00,15,"Gelfand, Boris",g,ISR,2681,27,1968,0,32
15,27-07-00,16,"Short, Nigel D.",g,ENG,2677,44,1965,0,35
16,27-07-00,17,"Smirin, Ilia",g,ISR,2677,25,1968,0,32
17,27-07-00,18,"Dreev, Alexey",g,RUS,2676,26,1969,0,31
18,27-07-00,19,"Azmaiparashvili, Zurab",g,GEO,2673,0,1960,0,40
19,27-07-00,20,"Ye, Jiangchuan",g,CHN,2670,45,1960,0,40
20,27-07-00,21,"Rublevsky, Sergei",g,RUS,2670,24,1974,0,26
21,27-07-00,22,"Xu, Jun",g,CHN,2668,75,1962,0,38
22,27-07-00,23,"Almasi, Zoltan",g,HUN,2668,25,1976,0,24
23,27-07-00,24,"Gurevich, Mikhail",g,BEL,2667,50,1959,0,41
